File,GT,Pred,OK
96.jpg,SBL66094,SB166094,True
144.jpg,STA1392C,SIAM392C,False
75.jpg,SK239WE,SK239HE,True
145.jpg,SO7183K,SO7183K,True
22.jpg,SK971JF,SK9711F,True
61.jpg,SK654TK,SK541K,False
49.jpg,SC5423W,SG5423H,False
111.jpg,KR5CV17,KR5CVT7,True
128.jpg,SL94455,SS4455,False
33.jpg,SK713VL,SK7131,False
108.jpg,SW58471,SK584711,False
80.jpg,SR5635N,SR5635N,True
67.jpg,SZA1477F,SZA1477F,True
39.jpg,SMI19778,SM119778,True
138.jpg,SZO99CK,SZ099CK1,False
7.jpg,SJ7912C,SJ71267,False
21.jpg,SK131NF,SK131NF,True
154.jpg,SG2947W,SG29476,True
192.jpg,SMY5HP6,SMY5HP6,True
98.jpg,SZA92043,SZ492043,True
105.jpg,SJ6479A,SJ6479A,True
77.jpg,SG986CN,SG986CN,True
149.jpg,ST8055V,ST8055V,True
131.jpg,SL98181,SL98181,True
129.jpg,SBE3218G,SBE32186,True
148.jpg,SO68659,,False
60.jpg,SK499VJ,SK499V,True
34.jpg,SR6510F,SR6510F,True
188.jpg,SGLTK91,SG1TK91,True
182.jpg,STA2L80,STA2180,True
83.jpg,SK971JF,SK59711F,False
58.jpg,STA8582C,STA8582C,True
89.jpg,SM3106E,SM3106E,True
85.jpg,SCI61825,SC166182,False
166.jpg,SL7185E,SL7185E,True
93.jpg,SMI98X8,SM98X8,True
47.jpg,SBI01M5,SB01M5,True
127.jpg,STA5468C,STA5468C,True
40.jpg,SBL58012,SB158012,True
109.jpg,SW58471,SW58471,True
10.jpg,SK404XK,SK404XK,True
3.jpg,SZA1837C,SZ11837C,True
52.jpg,SJ99531,SJ995311,True
170.jpg,SMI39019,SM39019,True
171.jpg,SCI2827J,IC12827,False
20.jpg,SL2702J,SL2702,True
95.jpg,SBL66094,ZB166094,False
81.jpg,SD7918E,SD79185,True
92.jpg,SK192TF,SK192TF,True
156.jpg,SK8056K,SK8056K,True
143.jpg,SO0665L,IS00465,False
187.jpg,SZ2805M,SZ2805M4,True
84.jpg,SGL03210,SG103210,True
42.jpg,SCI91903,SC91903,True
134.jpg,ST2105K,ST2705K1,False
112.jpg,SH9337C,SA9337,False
121.jpg,SK179VE,SKT79VF,False
116.jpg,SO0773X,SO80773Y,False
91.jpg,KOS0163G,KO501636,False
63.jpg,STA4470C,SIA4470C,True
11.jpg,SL83861,SL83861,True
82.jpg,SO6058G,SO60586,True
76.jpg,ST7803U,ST78030,True
183.jpg,SGLWF71,SG1HF71,False
12.jpg,SK293VV,SK293V1,True
173.jpg,SK959YF,SK959YF,True
122.jpg,KTTRJ07,KITR107,False
43.jpg,SK321LN,SK3211N,True
189.jpg,SG0575J,OS757,False
103.jpg,SJZJN07,SJ71N07,False
31.jpg,SK468VU,SK468VU,True
146.jpg,SK289PU,SK289P7,True
18.jpg,SL3458H,SL3458H,True
150.jpg,SPI19846,SP19846,True
165.jpg,SMI29210,SM129210,True
107.jpg,SH4831C,SH4831C1,True
36.jpg,STA97759,STA97759,True
14.jpg,SK286XX,SK286XX,True
44.jpg,NEL28529,ME128529,False
176.jpg,ST7736G,ST77366,True
126.jpg,SJ7749E,SJ7749E,True
19.jpg,SJ3132A,SJ3132A,True
9.jpg,SM5552E,SM5552E,True
114.jpg,SBE48JU,ZY0758E4,False
27.jpg,STA0211F,STA0211F,True
130.jpg,SK807WM,SK807WM,True
139.jpg,SMI36115,SM136115,True
191.jpg,KOL21767,KO121767,True
186.jpg,STA67KF,STAK7KF,True
168.jpg,SG9892X,SG9892X,True
73.jpg,STA43629,STA43629,True
177.jpg,SR1279L,SR127901,False
179.jpg,SM78958,SM789587,True
50.jpg,SO7183K,SO7183K,True
70.jpg,SG7428J,SG7428,True
158.jpg,SH9435C,SH9435,True
152.jpg,STA7109C,STA7109C,True
193.jpg,SPS85295,SP585295,True
143(1).jpg,SO0665L,IS00465,False
180.jpg,SJ4104C,SJ4146,False
